Ticker,Company Name,Current EPS Growth,Current Rev Growth,Missing EPS,Missing Rev
HOLX,Hologic Inc,—,—,YES,YES
S5H0,Sipef SA,54.7%,29.3%,NO,NO
EZPW,JDE Peets NV,+15.4%,12.3%,NO,NO
TSM,Rheinmetall AG,+30.8%,28.8%,NO,NO
BX,Exxaro Resources Ltd,2.4%,2.6%,NO,NO
ABEO,ACADIA Pharmaceuticals Inc,26.9%,11.9%,NO,NO
PRM,Raffles Medical Group Ltd,1.3%,1.8%,NO,NO
HAUTO,Innoviva Inc,12.7%,14.7%,NO,NO
VAL,Valeura Energy Inc,23.8%,-12.4%,NO,NO
DAVE,Eco Animal Health Group PLC,-16.3%,1.4%,NO,NO
LB,Life360 Inc,51.2%,31.8%,NO,NO
LOAR,Navigator Holdings Ltd,172.8%,3.6%,NO,NO
OPT,Palantir Technologies Inc,20.9%,56.2%,NO,NO
ALSTI,Talkspace Inc,22.7%,11.3%,NO,NO
