Ticker,Performance 1y (%),Performance 1m (%)
ACIW,-22.90%,6.30%
BETS B,-37.80%,6.10%
BL,-20.40%,22.90%
BFAM,-37.40%,9.40%
DOCU,-44.60%,16.90%
DT,-23.10%,13.90%
EVTC,-22.40%,12.10%
EXLS,-33.40%,8.30%
GRND,-27.10%,12.30%
HRB,-39.80%,8.90%
INTU,-24.30%,27.10%
KD,-62.50%,13.50%
LMN,-39.60%,23.50%
NEM,-40.30%,5.30%
NTNX,-44.70%,8.10%
OKTA,-28.70%,16.70%
PCTY,-40.00%,12.90%
PINS,-41.60%,13.40%
PTEC,-50.80%,5.80%
QLYS,-23.90%,12.30%
SCT,-25.20%,12.40%
CXM,-30.40%,15.50%
SFM,-44.60%,10.30%
LRN,-28.40%,8.00%
NKB2,-33.00%,4.00%
DSG,-30.60%,17.10%
GEO,-39.80%,27.70%
TRN,-24.70%,3.90%
TNET,-49.30%,14.90%
XVIVO,-47.30%,16.80%
YELP,-30.50%,22.90%
ZAL,-30.40%,6.40%
ZG,-35.90%,4.40%
GTM,-43.30%,2.50%
