Ticker,Company,Type,Performance 1y (%),Performance 1m (%),Gross Margin (%)
BETS B,Betsson AB,TWO,,,
BFAM,Bright Horizons,TWO,,,
BL,BlackLine Inc,TWO,,,
CXM,Sprinklr Inc,TWO,,,
DOCU,Docusign Inc,TWO,,,
DSG,Descartes Systems,TWO,,,
DT,Dynatrace Inc,TWO,,,
EVTC,Evertec Inc,TWO,,,
EXLS,ExlService Holdings,TWO,,,
GEO,The GEO Group Inc,TWO,,,
GRND,Grindr Inc,TWO,,,
GTM,ZoomInfo Technologies,TWO,,,
HRB,H&R Block Inc,TWO,,,
INTU,Intuit Inc,TWO,,,
KD,Kyndryl Holdings,TWO,,,
LMN,Lumine Group Inc,TWO,,,
LRN,Stride Inc,TWO,,,
NEM,Nemetschek SE,TWO,,,
NKB2,TG Therapeutics,TWO,,,
NTNX,Nutanix Inc,TWO,,,
OKTA,Okta Inc,TWO,,,
PCTY,Paylocity Holding,TWO,,,
PINS,Pinterest Inc,TWO,,,
PTEC,Playtech PLC,TWO,,,
QLYS,Qualys Inc,TWO,,,
SCT,Softcat PLC,TWO,,,
SFM,Sprouts Farmers Market,TWO,,,
TNET,Trinet Group Inc,TWO,,,
TRN,Trainline PLC,TWO,,,
XVIVO,Xvivo Perfusion,TWO,,,
YELP,Yelp Inc,TWO,,,
ZAL,Zalando SE,TWO,,,
ZG,Zillow Group Inc,TWO,,,
